junction,responsible_station,distance_km
17th Mn 1st Crs Aishwarya Stores Jn,Madiwala Traffic Police Station,1.47
27th Cross Jayanagar(Ganapathi Temple),Jayanagar 4th Block Police Station,0.39
28thMainJayanagarJunc,Mico Layout Traffic Police Station,0.73
29thMainRdBTM LayoutJunc,Madiwala Traffic Police Station,0.72
5thMainHSR,Madiwala Traffic Police Station,1.26
5thMainRPC Layout-Vijayanagar,Vijayanagar Police Station,0.6
A S CharStreet-MysoreRdJunc,Krishna Rajendra Market Police Station,0.25
ASC Junction,Karnataka State Reserve Police,0.49
AdugodiJunc,Adugodi Traffic Police Station,0.17
AgaraJunction,HSR Police station,0.43
AnandRaoJunction,Seshadripuram Police Station,0.75
AnepalyaJunc,Wilson Garden Police Station,1.02
AnilKumbleCircle,Additional Director General of Police,0.16
AnjaneyaTempleJunc,Indira Nagar Police Station,0.83
ArakereGateJunc,Hulimavu Police Station,1.56
Arbindo Circle,JP Nagar Police Station,0.63
Arts&CraftsCircle,Ashok Nagar Police Station,0.52
AshirwadamCircle,Ashok Nagar Police Station,0.65
Ashoknagar Junction(ShoolayCircle),Ashok Nagar Police Station,0.71
AttiguppeCircleJunction,Chandra Layout Police Station,0.66
AyyappaTempleJunc,Madiwala Traffic Police Station,0.37
BDA Junctio-Koramangala,Koramangala Police Station,1.07
BEL Circle,Jalahalli Police Station,0.83
BEML GateJunc(SuranjandasRd),Jeevan Bhima Nagar Police Station,0.36
BHEL Gate,Hulimavu Police Station,7.23
BM ShriJunc(CMH-100FtRd)Junc,Indiranagar Traffic Police Station,0.1
BMTCJunction-K H Road,Sampangi Rama Nagar Police Station,0.75
BTM16thMain-ORR Junc,Mico Layout Police Station,0.85
BagalakunteCrossJunction,Gangammagudi Police Station,2.87
BagalurCrossJunc,Yelahanka Police Station,3.48
Bamboobazar(Shivajinagar),Shivajinagar Traffic Police Station,0.59
BanashankariBusStandJunc,Banashankari Police Station,1.07
BangaloreBodyBuildersJunc,J J R Nagar Police station,0.59
Basappa Circle Junction,Central Police Station,0.61
BasavamantapaJunc-Dr RajkumarRd,Magadi Road Police Station,0.83
BasaweshwaraCircle,CID Office,0.46
Basveshwarnagar 8th main Junction,Basaveshwaranagar Police Station,1.23
Batrayanapura(Amrutahalli)Junction,Amrutahalli Police Station,1.28
BegumMahalJunc,Halasuru Police Station,0.56
"Bellandur Junction, Outer ring road",Bellanduru Police Station,1.41
BhadrappaLayout,Hebbal Traffic Police Station,1.38
BhashyamCircle,Rajaji Nagar Police Station,1.05
BhashyamCircle-SadashivNagar,Vyali Kaval Police Station,0.62
BigBazaar(Whitefield)Junc,Whitefield Police Station -Office of the Deputy Commisionner,2.4
BigBazaarJunction(OldMadrasRd),Baiyyapannahalli Police Station,0.04
BilekahalliJunc,Mico Layout Police Station,1.38
BinnyMillJunction,Cottenpet Police Station,0.32
BiryandCircle,Cottenpet Police Station,0.44
BloodBankCircle,Sampangi Rama Nagar Police Station,0.29
Bommanahalli,Madiwala Traffic Police Station,1.75
BrigadeMillenium,JP Nagar Police Station,2.06
BucheryJunction,Viveknagar Police Station,0.1
CID-CarltonHouseJunc,CID Office,0.15
CIL CrossJunction-JayamahalRd,JC Nagara Police Station,0.42
CMH Rd-AdarshTheaterJunc,Halasuru Police Station,0.55
CMP GateJunc,Wilson Garden Police Station,1.36
CashPharmacyJunction,Sampangi Rama Nagar Police Station,0.89
ChandraLayoutJunc-nearWaterTank,Chandra Layout Police Station,0.18
ChandrikaJunction,Cybercrime Police Station,0.12
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),Cybercrime Police Station,0.51
Chokasandra (Tumkur road),Peenya Police Station,0.98
CholurpalyaJunction(MagadiRd),Magadi Road Police Station,0.15
CoffeeBoardJunc,Cyber Crime Police Station,0.14
ColesParkJunc,Bharthinagar Police Station,0.32
CommandoHospitalJunc,Karnataka State Reserve Police,0.89
D'SouzaCircle,Ashok Nagar Police Station,0.49
DMRoadJunc(Basavangudi),Basavangudi Police Station,0.27
DairyCircle,Adugodi Police Station,0.85
Delmia-Jayanagar,JP Nagar Police Station,0.93
Devanahalli new bus stand,City Armed Reserve North,21.05
DevanahalliCrossJunc,City Armed Reserve North,19.85
DevangaHostelJunction,Sampangi Rama Nagar Police Station,0.34
Devasandra(k r puram),KR Puram Traffic Police Station,0.31
DevegowdaPetrolBunkJunc,Banashankari Police Station,0.47
Deverabeesanahalli-ORR Junc,Marathahalli Police Station,2.15
DhobiGhatJunc,Basaveshwaranagar Police Station,0.88
DickensonRd-AdigasJunc,Commercial Street Police Station,0.8
DoddaballapuraCrossJunc,City Armed Reserve North,21.82
DomlurWaterTank,Indiranagar Traffic Police Station,1.91
Dr RajkumarRd-10thCrossRdJunc,Subramanyanagar Police Station,0.45
Dr TCM RoyanRd near AmbedkarStatue,Cottenpet Police Station,0.39
ESI(k r puram),Office Of The Assistant Commissioner Whitefield Subdivision,1.43
ElectronicCityGate-2Junc,Bellanduru Police Station,7.05
EliteJunc,Upparpet Traffic Police Station,0.19
FTI Junction(KanteeravaStudio),Nandini Layout Police Station,1.13
Fire Force Junction,Magadi Road Police Station,0.72
GangammagudiJunc,Jalahalli Police Station,0.96
GarebhavipalyaJunc,Mico Layout Police Station,3.28
Geeta Circle,Tilaknagar Police Station,0.48
Geethanjali jn,Maleshwaram Police station,0.71
GokuldasImagesJunc,Peenya Police Station,1.76
GopalGowdaJUnc,Vidhana Soudha Police Station,0.33
GorappanapalyaJunction,Mico Layout Traffic Police Station,0.86
GoruguntepalyaJunc,Nandini Layout Police Station,1.94
GovindapuraCross,Kadugondanahalli Traffic Police Station,1.38
GowdanapalyaJunction,Kumaraswamy Layout Police Station,1.03
HSR14thMainJunc,HSR Police station,1.38
HainsJunc,Bharthinagar Police Station,0.68
HalliThindi,Basavangudi Police Station,0.72
HebbalFlyoverJunc,Hebbal Traffic Police Station,0.18
HennurRd-DavisRdJunction,Pulakeshi Nagar Police Station,0.45
HennurRoad-ORR Junc,Banaswadi Police Station,1.4
HesaraghattaJunction,Peenya Police Station,1.81
HoodiJunction,Office Of The Assistant Commissioner Whitefield Subdivision,2.43
HopefarmJunction,Whitefield Police Station -Office of the Deputy Commisionner,1.0
HoramavuJunction,Hennur Police Station,1.28
HosmatJunction,Karnataka State Reserve Police,0.27
HudsonCircle,Police Headquarters,0.32
HulimaveRd-BanneraghattaRdJunc,Hulimavu Police Station,0.71
HunsemarammanahalliJunction,Yelahanka Police Station,5.79
ISRO Junction-Airport rd,Indiranagar Traffic Police Station,0.9
ISRO Junction-NewBEL Rd,Sanjayanagar Police station,0.9
IbblurJunction',Bellanduru Traffic Police Station,0.33
IndianExpressJunction,Commisioner of Police,0.29
Indiranasgar13thMainJunc,Indiranagar Traffic Police Station,1.27
ItmaduJunction,BSK 3rd stage Police Station,0.89
J D MaraJunc,Mico Layout Traffic Police Station,0.67
JP Nagar 15th cross junction,JP Nagar Police Station,0.65
JP Nagar 9th cross-24th main jn,JP Nagar Police Station,0.16
JaiMuniRaoCircle,Vijaynagar Traffic Police Station,0.6
Jaipuria-Adugodi,Koramangala Police Station,0.74
JakkurCrossJunction,Amrutahalli Police Station,1.95
JalahalliCross(SM Circle),Peenya Police Station,0.55
JayadevaHospitalJunc,Mico Layout Traffic Police Station,0.27
"Jayanagar 4th main,36th cross",Jayanagar 4th Block Police Station,0.67
JohnsonMarket,Ashok Nagar Police Station,1.05
K G Junction,Upparpet Traffic Police Station,0.18
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),Wilson Garden Police Station,0.64
K R Circle,Vidhana Soudha Police Station,0.27
K R MarketJunction,Krishna Rajendra Market Police Station,0.26
KCG HospitalJunction,Maleshwaram Police station,0.35
KHB Junction,Basaveshwaranagar Police Station,0.82
KIMCO Junction,Vijayanagara Traffic Police Station,1.09
KR Road-14thCross Junc,Thyagaraja Nagar Police Station,0.63
KadirenahalliJunction,Banashankari Police Station,0.73
Kadubeesanahalli-ORR Junc,Marathahalli Police Station,0.7
KalyanNagar-ORR Junc,Hennur Police Station,0.22
KamakyaJunction,BSK 3rd stage Police Station,0.11
Kammanahalli-RingRoadJunction,Banaswadi Police Station,0.83
KamrajRdJunction,Ashok Nagar Police Station,0.62
